            State: Pitesti, g: 629.0, h: 100.0, f: 729.0, Order:-1
    State: Timisoara, g: 236.0, h: 329.0, f: 565.0, Order:6
      State: Arad, g: 354.0, h: 366.0, f: 720.0, Order:20
        State: Zerind, g: 429.0, h: 374.0, f: 803.0, Order:41
          State: Oradea, g: 500.0, h: 380.0, f: 880.0, Order:74
            State: Zerind, g: 571.0, h: 374.0, f: 945.0, Order:-1
            State: Sibiu, g: 651.0, h: 253.0, f: 904.0, Order:-1
          State: Arad, g: 504.0, h: 366.0, f: 870.0, Order:77
            State: Zerind, g: 579.0, h: 374.0, f: 953.0, Order:-1
            State: Sibiu, g: 644.0, h: 253.0, f: 897.0, Order:-1
            State: Timisoara, g: 622.0, h: 329.0, f: 951.0, Order:-1
        State: Sibiu, g: 494.0, h: 253.0, f: 747.0, Order:69
          State: Oradea, g: 645.0, h: 380.0, f: 1025.0, Order:-1
